"filename", "language", "YAML", "JSON", "C++", "CMake", "Swift", "Markdown", "XML", "Dart", "Properties", "HTML", "comment", "blank", "total"
"d:\mini Apps\demo_proj\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 6, 28
"d:\mini Apps\demo_proj\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 7, 41
"d:\mini Apps\demo_proj\windows\runner\flutter_window.cpp", "C++", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"d:\mini Apps\demo_proj\windows\runner\flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\mini Apps\demo_proj\windows\runner\main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\mini Apps\demo_proj\windows\runner\resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\mini Apps\demo_proj\windows\runner\utils.cpp", "C++", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"d:\mini Apps\demo_proj\windows\runner\utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\mini Apps\demo_proj\windows\runner\win32_window.cpp", "C++", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\mini Apps\demo_proj\windows\runner\win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 40, 279, 564, 466, 63, 18, 470, 3814, 8, 19, 392, 856, 6989
